,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cape Town,20,ZA,1584285001,60,-33.93,18.42,71.01,31.09
1,Juegang,70,CN,1584285010,78,32.32,121.19,47.41,16.26
2,Ushuaia,75,AR,1584285011,67,-54.8,-68.3,57.2,4.47
3,Isangel,100,VU,1584284836,82,-19.55,169.27,82.71,29.84
4,Mataura,63,NZ,1584284838,94,-46.19,168.86,53.01,1.99
5,Yumen,100,CN,1584285014,20,40.28,97.2,38.61,9.82
6,Taksimo,100,RU,1584285015,96,56.34,114.88,13.21,0.69
7,Gonder,99,ET,1584285017,27,12.6,37.47,75.69,12.28
8,Mayumba,48,GA,1584285018,81,-3.43,10.66,82.71,12.53
9,Punta Arenas,100,CL,1584285019,67,-53.15,-70.92,60.8,23.04
10,Albany,1,US,1584284834,31,42.6,-73.97,39.99,6.67
11,Manggar,28,ID,1584285021,74,-2.88,108.27,83.79,5.57
12,Salinópolis,100,BR,1584284915,89,-0.61,-47.36,78.21,16.71
13,Coquimbo,40,CL,1584285023,82,-29.95,-71.34,62.6,6.93
14,Flinders,75,AU,1584285024,82,-34.58,150.86,62.01,10.29
15,Busselton,8,AU,1584285025,67,-33.65,115.33,66.99,8.19
16,Port Elizabeth,75,ZA,1584284837,77,-33.92,25.57,68.0,11.41
17,Saint Paul Harbor,1,US,1584285028,79,57.79,-152.41,19.4,5.82
18,Marabá,90,BR,1584285005,94,-5.37,-49.12,78.8,3.36
19,Grand Gaube,75,MU,1584285030,78,-20.01,57.66,80.6,5.82
20,Hamilton,90,US,1584285031,69,39.18,-84.53,37.4,14.99
21,Yellowknife,75,CA,1584284833,92,62.46,-114.35,19.4,12.75
22,Hermanus,10,ZA,1584285033,82,-34.42,19.23,69.01,7.0
23,Yulara,0,AU,1584285034,18,-25.24,130.99,84.2,11.41
24,Baruun-Urt,67,MN,1584285035,70,46.68,113.28,28.71,15.79
25,Broome,1,US,1584285037,37,42.25,-75.83,39.99,12.75
26,Qaanaaq,100,GL,1584284837,63,77.48,-69.36,-14.31,1.63
27,Hasaki,20,JP,1584285039,93,35.73,140.83,37.4,5.82
28,Arraial do Cabo,20,BR,1584285040,58,-22.97,-42.03,87.8,17.22
29,Lebu,0,CL,1584285041,39,-37.62,-73.65,65.79,7.94
30,Goderich,0,CA,1584285042,59,43.75,-81.72,33.01,7.0
31,Kashirskoye,90,RU,1584285043,92,51.42,39.61,24.8,17.9
32,Carupano,98,VE,1584285044,59,10.67,-63.26,83.79,5.55
33,Esim,100,GH,1584285046,57,4.87,-2.24,90.81,8.55
34,Natal,75,BR,1584284898,70,-5.79,-35.21,86.0,10.29
35,Souillac,75,MU,1584285048,78,-20.52,57.52,80.6,5.82
36,Jumla,22,NP,1584285049,82,29.27,82.18,30.87,3.58
37,Butaritari,0,KI,1584285050,75,3.07,172.79,84.15,17.92
38,Hobart,90,AU,1584284847,54,-42.88,147.33,55.4,8.05
39,Lázaro Cárdenas,0,MX,1584284875,61,17.96,-102.2,82.17,2.64
40,Tiksi,99,RU,1584285053,87,71.69,128.87,-2.97,14.74
41,East London,75,ZA,1584285055,94,-33.02,27.91,68.0,14.99
42,Ponta do Sol,40,PT,1584285056,55,32.67,-17.1,66.2,16.11
43,San Patricio,5,MX,1584284836,78,19.22,-104.7,73.4,6.93
44,Tual,100,ID,1584285058,80,-5.67,132.75,79.65,16.11
45,Chernyshevskiy,100,RU,1584285059,94,63.01,112.47,29.97,8.61
46,Kidero,96,RU,1584285060,86,42.19,45.96,40.59,0.38
47,Cidreira,97,BR,1584285061,76,-30.18,-50.21,77.85,9.51
48,Khatanga,100,RU,1584285063,92,71.97,102.5,-5.85,12.12
49,Thompson,20,CA,1584285064,76,55.74,-97.86,-11.2,7.92
50,Salalah,40,OM,1584285065,57,17.02,54.09,78.8,11.41
51,Nome,100,US,1584285066,97,64.5,-165.41,26.55,6.53
52,Ginda,88,IN,1584284855,88,30.69,78.49,46.51,3.2
53,Nanortalik,100,GL,1584284874,68,60.14,-45.24,24.57,14.34
54,Kirensk,88,RU,1584285069,95,57.79,108.11,29.41,8.32
55,Severo-Kuril'sk,100,RU,1584285070,98,50.68,156.12,31.95,22.46
56,Rikitea,53,PF,1584285071,79,-23.12,-134.97,77.85,11.59
57,Ilulissat,20,GL,1584284848,52,69.22,-51.1,-7.6,1.12
58,La Ronge,90,CA,1584285074,77,55.1,-105.28,-2.2,4.7
59,Chabahar,98,IR,1584285075,66,25.29,60.64,71.91,2.51
60,Atuona,11,PF,1584284833,69,-9.8,-139.03,81.27,9.64
61,Karratha,14,AU,1584285077,76,-20.74,116.85,84.87,16.22
62,Hurghada,0,EG,1584285006,39,27.26,33.81,78.8,4.7
63,Jamestown,1,US,1584285079,51,42.1,-79.24,37.4,12.75
64,Katsuura,75,JP,1584285080,70,35.13,140.3,48.99,6.93
65,Kaeo,100,NZ,1584285081,93,-35.1,173.78,60.01,1.99
66,Saldanha,68,ZA,1584285053,47,-33.01,17.94,77.0,24.16
67,Bathsheba,75,BB,1584285084,65,13.22,-59.52,82.4,13.87
68,São João da Barra,20,BR,1584285085,58,-21.64,-41.05,86.0,10.29
69,Lavrentiya,100,RU,1584284856,98,65.58,-171.0,32.11,5.01
70,Bagdarin,100,RU,1584285087,96,54.43,113.6,20.25,0.76
71,Labuan,75,MY,1584285088,83,5.28,115.24,80.6,8.05
72,Puerto Ayora,40,EC,1584285089,83,-0.74,-90.35,81.0,9.17
73,Birin,3,NP,1584285090,77,26.89,88.07,49.77,3.74
